timestamp,rollspeed_integ,pitchspeed_integ,yawspeed_integ,additional_integ1
279831023,-0.000687923,0.0039081485,0.0085320445,0.0
279850840,-0.00081767864,0.0038901393,0.008526836,0.0
279866644,-0.000797246,0.003906373,0.008505731,0.0
279890354,-0.0008794648,0.0038322008,0.008534668,0.0
279910125,-0.00093443337,0.0038037135,0.008516063,0.0
279929909,-0.00091120636,0.003798157,0.008527016,0.0
279949656,-0.000894163,0.0037583536,0.008542029,0.0
279969448,-0.0008924449,0.0037655653,0.008519845,0.0
279989195,-0.00080895814,0.0037194192,0.008540019,0.0
280008973,-0.00080790895,0.0036926756,0.008538486,0.0
280028735,-0.0006945104,0.0036988754,0.008534554,0.0
280048539,-0.00047849663,0.0036205705,0.008537208,0.0
280072251,-0.00034097504,0.003609662,0.008483232,0.0
280088065,-0.00023549117,0.0036043453,0.008487051,0.0
280111787,-7.4397714e-05,0.0035804475,0.008434117,0.0
280131578,-7.825966e-05,0.003541416,0.008412971,0.0
280147367,5.0846982e-05,0.003512343,0.008392031,0.0
280171121,8.002013e-05,0.003468709,0.008336483,0.0
280190903,5.7160472e-05,0.0034342906,0.00831519,0.0
280210635,-0.0006544566,0.0031792177,0.00827822,0.0
280230438,-0.0017508313,0.0029322682,0.0082426965,0.0
280250193,-0.003021772,0.0027603577,0.008221576,0.0
280269951,-0.0040143426,0.0027838422,0.008199337,0.0
280289725,-0.0040776148,0.002957421,0.008194624,0.0
280309492,-0.004348925,0.0031306182,0.008179835,0.0
280329264,-0.0046640057,0.0033381456,0.008181223,0.0
280352999,-0.005566375,0.003636666,0.008183954,0.0
280368822,-0.0060248133,0.003774864,0.008163691,0.0
280388578,-0.0057445667,0.003881764,0.008187197,0.0
280412311,-0.005368232,0.004078076,0.008186269,0.0
280428126,-0.005564968,0.004259535,0.008169181,0.0
280447899,-0.005194638,0.0044735726,0.008185689,0.0
280471638,-0.0050109816,0.0046901805,0.008193248,0.0
280491412,-0.005148746,0.0048989784,0.008216924,0.0
280507258,-0.0050574457,0.005002786,0.008197796,0.0
280530969,-0.004403039,0.005119503,0.008221811,0.0
280550706,-0.003216158,0.00527874,0.008221805,0.0
280566555,-0.0020431015,0.0053573954,0.008199563,0.0
280590266,-0.00021093001,0.0054749413,0.008203209,0.0
280610074,0.0010119436,0.0055904887,0.008181797,0.0
280629807,0.001919299,0.0056914734,0.008152029,0.0
280649571,0.0023521255,0.005735527,0.008155558,0.0
280669362,0.0024658144,0.005785974,0.00810755,0.0
280689111,0.0023521597,0.00581528,0.008087639,0.0
280708880,0.0020170503,0.005779499,0.008070313,0.0
280728663,0.001873321,0.0057186917,0.008009857,0.0
280752380,0.0019968168,0.0055940393,0.007996926,0.0
280772165,0.0020067464,0.005527419,0.007941739,0.0
280787998,0.0019363544,0.005486225,0.007910151,0.0
280811692,0.0015938461,0.0054168287,0.007877575,0.0
280831508,0.0011138543,0.005373804,0.007816516,0.0
280847308,0.0006497823,0.0053181755,0.0077970475,0.0
280871013,-0.00015213285,0.00525888,0.007745552,0.0
280890803,-0.0008853472,0.0052017504,0.0077073066,0.0
280910550,-0.0015162413,0.005125331,0.00769712,0.0
280930368,-0.0021703392,0.005046679,0.0076393685,0.0
280950127,-0.0027592184,0.0049494756,0.007626443,0.0
280969872,-0.00329578,0.0048608407,0.007603759,0.0
280989636,-0.0038373964,0.0048191524,0.007580492,0.0
281009407,-0.0044380217,0.0047801724,0.007596251,0.0
281029185,-0.0050233514,0.004807853,0.0075635063,0.0
281052906,-0.0057538575,0.004782187,0.007580873,0.0
281068735,-0.00631331,0.0047222706,0.007587289,0.0
281088504,-0.0068709143,0.004718692,0.0075734323,0.0
281112234,-0.0075675035,0.004669037,0.007616527,0.0
281128081,-0.007851542,0.004623666,0.0076166177,0.0
281147821,-0.008063571,0.0046170466,0.0076229256,0.0
281171533,-0.0083402395,0.0045356113,0.0076761637,0.0
281191336,-0.008490115,0.0045145107,0.0076797516,0.0
281207122,-0.008698,0.0045259926,0.007683947,0.0
281230882,-0.009166186,0.0045317644,0.007748359,0.0
281250659,-0.009566624,0.004601267,0.0077429786,0.0
281266473,-0.009961512,0.0046456857,0.007770672,0.0
281290174,-0.010592944,0.004675862,0.007825162,0.0
281309937,-0.010921019,0.004807525,0.0078057954,0.0
281329740,-0.0113112135,0.0049407687,0.007853351,0.0
281349487,-0.011586987,0.005066939,0.007874836,0.0
281369256,-0.012072103,0.005179465,0.007889589,0.0
281389032,-0.012717165,0.0052274205,0.007928199,0.0
281408797,-0.012693478,0.0052767484,0.007932342,0.0
281428569,-0.012384012,0.005318534,0.007948952,0.0
281452310,-0.011513582,0.0053513506,0.007976612,0.0
281472079,-0.010654907,0.0054457155,0.007958303,0.0
281487911,-0.009596807,0.005511513,0.007993421,0.0
281511604,-0.0077445903,0.0056481822,0.007980917,0.0
281531410,-0.007639119,0.0058333306,0.00798587,0.0
281547199,-0.0070218924,0.005893079,0.008009096,0.0
281570939,-0.005224813,0.006067993,0.007984632,0.0
281590697,-0.005073677,0.006254672,0.008037084,0.0
281610487,-0.0064353812,0.006357268,0.008022134,0.0
281630238,-0.008834362,0.0064278524,0.008034448,0.0
281650035,-0.011451496,0.0065269857,0.008069905,0.0
281669780,-0.013711386,0.0065220166,0.008070548,0.0
281689547,-0.01525059,0.006452654,0.008112838,0.0
281709318,-0.016051011,0.006427637,0.008142092,0.0
281729114,-0.01634151,0.00644682,0.008164789,0.0
281752844,-0.016362231,0.006476445,0.008231349,0.0
281768634,-0.01626306,0.0064717806,0.008249131,0.0
281788405,-0.01619535,0.0065280655,0.008298198,0.0
281812175,-0.01627732,0.006590151,0.008354836,0.0
281827952,-0.016333332,0.0065606255,0.008402302,0.0
281847724,-0.016308682,0.006584073,0.0084506385,0.0
281871446,-0.016224878,0.006577932,0.008514184,0.0
281891326,-0.01605129,0.0065561854,0.008558848,0.0
281907032,-0.015845066,0.0065797525,0.00860581,0.0
281930796,-0.015428024,0.0065627405,0.008627607,0.0
281950595,-0.014978385,0.0065123863,0.008675866,0.0
281970311,-0.014601734,0.0064951894,0.008691253,0.0
281990084,-0.014128243,0.0064992537,0.008720092,0.0
282009847,-0.013615482,0.006534847,0.008754838,0.0
282029651,-0.0131445555,0.0065496876,0.008752525,0.0
282049388,-0.012612077,0.006568493,0.008788561,0.0
282069195,-0.01216667,0.0065717786,0.008777168,0.0
282088938,-0.0117803095,0.0065416,0.008782772,0.0
282108700,-0.011396311,0.0065123574,0.008814211,0.0
282128504,-0.01105135,0.0064639407,0.00880241,0.0
282152217,-0.01067151,0.0063360496,0.008841164,0.0
282171973,-0.010294448,0.0062180795,0.008860914,0.0
282187795,-0.009879838,0.006160594,0.008853932,0.0
282211521,-0.009248886,0.0060480474,0.008907793,0.0
282231319,-0.0087409215,0.0059859282,0.00891468,0.0
282247111,-0.0083620455,0.0059454422,0.008914777,0.0
282270827,-0.007871492,0.005865527,0.008952293,0.0
282290613,-0.0074946466,0.0059098266,0.008952345,0.0
282310373,-0.0070645725,0.0059690317,0.008984722,0.0
282330182,-0.0066329916,0.0059885066,0.008998445,0.0
282349911,-0.006182646,0.0060540875,0.009004608,0.0
282369686,-0.0057532587,0.006122721,0.009030286,0.0
282389471,-0.0052714404,0.0061747264,0.009027096,0.0
282409241,-0.0047602924,0.0062660775,0.009045533,0.0
282429007,-0.004324467,0.006373609,0.009038898,0.0
