timestamp,voltage5v_v,sensors3v3[0],sensors3v3[1],sensors3v3[2],sensors3v3[3],sensors3v3_valid,usb_connected,brick_valid,usb_valid,servo_valid,periph_5v_oc,hipower_5v_oc,comp_5v_valid,can1_gps1_5v_valid
213404756,4.7179685,3.2935545,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
213907769,4.7695312,3.2935545,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
214405328,4.7356935,3.295166,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
214904761,4.753418,3.2935545,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
215404758,4.8114257,3.295166,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
215904757,4.787256,3.295166,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
216405180,4.7856445,3.2935545,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
216904757,4.779199,3.295166,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
217405382,4.7518067,3.295166,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
217904772,4.748584,3.295166,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
218404757,4.7695312,3.2935545,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
218904758,4.7824216,3.295166,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
219404759,4.7340817,3.295166,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
219904899,4.76792,3.2935545,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
220404756,4.6921873,3.2935545,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
220907133,4.813037,3.2967772,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
221405253,4.755029,3.295166,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
221904756,4.7695312,3.295166,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
222405440,4.7614746,3.2935545,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
222904758,4.7598634,3.2935545,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
223406489,4.8210936,3.295166,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
223904757,4.7953124,3.2935545,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
224405471,4.7211914,3.2935545,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
224904770,4.7953124,3.2967772,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
225404768,4.690576,3.295166,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
225904765,4.7808104,3.2935545,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
226404758,4.755029,3.295166,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
226904810,4.7759767,3.295166,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
227404757,4.7759767,3.2935545,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
227905750,4.7421384,3.2935545,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
228404769,4.79209,3.2967772,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
228904758,4.8210936,3.2935545,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
229404765,4.798535,3.2967772,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
229904757,4.7211914,3.295166,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
230405244,4.798535,3.295166,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
230904757,4.674463,3.295166,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
231405318,4.7953124,3.2935545,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
231904769,4.7840333,3.295166,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
232404757,4.7727537,3.2935545,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
232904774,4.790478,3.295166,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
233404761,4.774365,3.2935545,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
233904764,4.7582517,3.2935545,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
234404757,4.7759767,3.295166,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
234905741,4.748584,3.2935545,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
