timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,apply_flaps
274687121,-0.003206301,0.015362678,0.33946133,-4.6938652e-17,0.9855979,-0.00287756,0.007300085,0.16892383,0.0,0.0,-0.14656255,0,0,0,0,0
274695089,-0.00228905,0.015897647,0.33946136,-3.7603942e-17,0.985597,-0.0024707182,0.0076411897,0.16892043,0.0,0.0,-0.14664361,0,0,0,0,0
274707097,-0.0024783593,0.01583163,0.33946136,-3.7603942e-17,0.985597,-0.0025584344,0.0075926683,0.16892116,0.0,0.0,-0.1463563,0,0,0,0,0
274714875,-0.0034565905,0.015544017,0.33946136,-3.0148877e-17,0.9855968,-0.0030162164,0.007368309,0.16892481,0.0,0.0,-0.14585975,0,0,0,0,0
274727343,-0.0039210944,0.01564057,0.33946136,-3.0148877e-17,0.9855957,-0.0032532762,0.007376657,0.16892654,0.0,0.0,-0.14557193,0,0,0,0,0
274734817,-0.0038817374,0.015303762,0.33946133,-2.4149531e-17,0.9855971,-0.0032054386,0.007214002,0.16892627,0.0,0.0,-0.14643788,0,0,0,0,0
274746430,-0.0045794244,0.01520798,0.33946133,-2.4149531e-17,0.9855963,-0.0035411692,0.007107872,0.16892871,0.0,0.0,-0.14650632,0,0,0,0,0
274754442,-0.0037044995,0.015218917,0.33946133,-1.9378924e-17,0.98559767,-0.003110931,0.0071871607,0.1689256,0.0,0.0,-0.14507338,0,0,0,0,0
274766292,-0.004283742,0.014550916,0.33946136,-1.9378924e-17,0.9855993,-0.0033399698,0.0068090446,0.1689274,0.0,0.0,-0.14503844,0,0,0,0,0
274774088,-0.006444193,0.014691964,0.33946136,-1.5558528e-17,0.9855946,-0.0044165477,0.0066960687,0.1689348,0.0,0.0,-0.14945714,0,0,0,0,0
274786552,-0.006254751,0.014210093,0.33946133,-1.5558528e-17,0.9855969,-0.0042824997,0.006474604,0.1689337,0.0,0.0,-0.14929686,0,0,0,0,0
274793882,-0.006568612,0.013120657,0.33946136,-1.2472016e-17,0.9856001,-0.004345172,0.005911215,0.16893359,0.0,0.0,-0.15080878,0,0,0,0,0
274805885,-0.00713307,0.012616358,0.33946133,-1.2472016e-17,0.98560065,-0.004580751,0.005615016,0.16893463,0.0,0.0,-0.1505638,0,0,0,0,0
274813649,-0.006051049,0.011969799,0.33946136,-1.0001016e-17,0.98560506,-0.0039929305,0.005387784,0.16893095,0.0,0.0,-0.15026835,0,0,0,0,0
274825617,-0.006647163,0.0107886065,0.33946133,-1.0001016e-17,0.9856075,-0.0041869483,0.004755333,0.16893119,0.0,0.0,-0.15023248,0,0,0,0,0
274837430,-0.0071648927,0.010423399,0.33946133,-7.712073e-18,0.98560745,-0.004411246,0.004531626,0.16893195,0.0,0.0,-0.15011305,0,0,0,0,0
274845248,-0.006227083,0.00990948,0.33946133,-7.712073e-18,0.98561084,-0.003905689,0.0043575754,0.1689292,0.0,0.0,-0.1495957,0,0,0,0,0
274857399,-0.006445324,0.009026859,0.33946133,-6.1692263e-18,0.9856127,-0.0039387033,0.0039041787,0.16892864,0.0,0.0,-0.14970386,0,0,0,0,0
274865130,-0.0069971043,0.0086683305,0.33946136,-6.1692263e-18,0.98561245,-0.004180346,0.0036808867,0.16892922,0.0,0.0,-0.14857896,0,0,0,0,0
274877575,-0.0068720705,0.007849505,0.33946133,-4.9272022e-18,0.9856146,-0.004049579,0.003287923,0.16892788,0.0,0.0,-0.15246677,0,0,0,0,0
274884845,-0.008795138,0.0069064153,0.33946136,-4.9272022e-18,0.98561233,-0.004917636,0.0026607292,0.1689292,0.0,0.0,-0.15329675,0,0,0,0,0
274896944,-0.008653929,0.0064481893,0.33946133,-3.966393e-18,0.9856136,-0.0048093502,0.002446839,0.16892816,0.0,0.0,-0.15305291,0,0,0,0,0
274904715,-0.007650762,0.005899844,0.33946136,-3.966393e-18,0.9856169,-0.004268673,0.0022613397,0.16892606,0.0,0.0,-0.15390131,0,0,0,0,0
274916559,-0.008022078,0.0051809885,0.33946136,-3.187234e-18,0.98561734,-0.0043909517,0.0018757179,0.16892521,0.0,0.0,-0.15364595,0,0,0,0,0
274924499,-0.007133241,0.0046855714,0.33946133,-3.187234e-18,0.9856199,-0.003911085,0.0017066442,0.1689236,0.0,0.0,-0.15258527,0,0,0,0,0
274936339,-0.007046506,0.004048375,0.3394613,-2.5541805e-18,0.985621,-0.0038145273,0.0013999522,0.16892251,0.0,0.0,-0.15235226,0,0,0,0,0
274944124,-0.007964252,0.003434017,0.33946133,-2.5541805e-18,0.98561984,-0.004214917,0.0010196759,0.16892202,0.0,0.0,-0.15224314,0,0,0,0,0
274956177,-0.0082913255,0.0030943726,0.33946133,-2.0478086e-18,0.98561954,-0.0043474175,0.0008246703,0.16892157,0.0,0.0,-0.15217075,0,0,0,0,0
274964130,-0.007528719,0.0024783327,0.33946133,-2.0478086e-18,0.98562175,-0.00391957,0.00058548903,0.16892016,0.0,0.0,-0.15238433,0,0,0,0,0
274975849,-0.00770935,0.0018410862,0.33946133,-1.6426163e-18,0.9856219,-0.0039547672,0.00025619045,0.16891904,0.0,0.0,-0.15220846,0,0,0,0,0
274983861,-0.0075049554,0.00160168,0.33946136,-1.6426163e-18,0.9856225,-0.00383382,0.00015547131,0.16891862,0.0,0.0,-0.15124787,0,0,0,0,0
274995538,-0.0074328133,0.0010101321,0.33946133,-1.3181397e-18,0.9856231,-0.0037483072,-0.00012995728,0.16891754,0.0,0.0,-0.15095247,0,0,0,0,0
275003518,-0.0085333465,0.00070442026,0.33946136,-1.3181397e-18,0.98562104,-0.0042648427,-0.00037356507,0.16891684,0.0,0.0,-0.15145876,0,0,0,0,0
275015383,-0.008687528,0.00047459215,0.33946133,-1.0561489e-18,0.9856208,-0.0043214145,-0.00049984874,0.1689163,0.0,0.0,-0.15118797,0,0,0,0,0
275027139,-0.008830329,-0.00032846676,0.33946136,-1.0561489e-18,0.98562086,-0.004323964,-0.0009076652,0.16891454,0.0,0.0,-0.15085998,0,0,0,0,0
275035086,-0.0076916097,-0.0004534991,0.33946136,-8.474615e-19,0.9856231,-0.0037522304,-0.00087310927,0.16891478,0.0,0.0,-0.15593751,0,0,0,0,0
275046881,-0.007813618,-0.0007608709,0.3394613,-8.474615e-19,0.98562294,-0.0037863974,-0.0010348901,0.16891412,0.0,0.0,-0.1559584,0,0,0,0,0
275054993,-0.0070990864,-0.0012079995,0.3394613,-6.785799e-19,0.98562425,-0.003396504,-0.001194893,0.16891368,0.0,0.0,-0.15456009,0,0,0,0,0
275066856,-0.007227579,-0.0010807936,0.33946136,-6.785799e-19,0.985624,-0.0034705705,-0.0011430567,0.16891384,0.0,0.0,-0.15453807,0,0,0,0,0
275074627,-0.008192952,-0.001461716,0.33946136,-5.448581e-19,0.9856223,-0.0039141444,-0.0014123113,0.16891247,0.0,0.0,-0.15384936,0,0,0,0,0
275086535,-0.008215114,-0.0020389303,0.33946133,-5.448581e-19,0.98562217,-0.003876315,-0.0016986403,0.16891126,0.0,0.0,-0.15353462,0,0,0,0,0
275094409,-0.007862773,-0.0018397586,0.33946133,-4.3686065e-19,0.9856229,-0.0037194996,-0.0015707291,0.16891192,0.0,0.0,-0.15389563,0,0,0,0,0
275106397,-0.007796914,-0.001954481,0.33946133,-4.3686065e-19,0.985623,-0.0036773542,-0.0016217034,0.16891176,0.0,0.0,-0.15350261,0,0,0,0,0
275114284,-0.00846125,-0.0024277372,0.33946136,-3.4991193e-19,0.98562163,-0.003964776,-0.0019110362,0.1689102,0.0,0.0,-0.15355341,0,0,0,0,0
275126287,-0.008765335,-0.0024291698,0.33946133,-3.4991193e-19,0.98562104,-0.004114511,-0.0019374235,0.16890989,0.0,0.0,-0.15305302,0,0,0,0,0
275134104,-0.007989346,-0.0028379816,0.33946136,-2.8044837e-19,0.98562235,-0.0036975674,-0.0020733543,0.16890979,0.0,0.0,-0.15349558,0,0,0,0,0
275145904,-0.008304843,-0.0027063217,0.33946133,-2.8044837e-19,0.98562187,-0.0038641673,-0.002035116,0.16890974,0.0,0.0,-0.15343861,0,0,0,0,0
275153872,-0.007002172,-0.0023847397,0.33946133,-2.24921e-19,0.98562425,-0.003249357,-0.0017666192,0.16891159,0.0,0.0,-0.1520772,0,0,0,0,0
275165519,-0.0070225336,-0.0027034823,0.33946136,-2.24921e-19,0.98562413,-0.0032324702,-0.0019254189,0.16891101,0.0,0.0,-0.15179195,0,0,0,0,0
275173571,-0.00883911,-0.002709989,0.33946136,-1.8052894e-19,0.9856208,-0.004127149,-0.0020820445,0.16890919,0.0,0.0,-0.15123811,0,0,0,0,0
275185956,-0.00849146,-0.0025871096,0.33946136,-1.8052894e-19,0.9856215,-0.003966203,-0.0019921276,0.16890983,0.0,0.0,-0.15059811,0,0,0,0,0
275197464,-0.007908754,-0.002956242,0.33946133,-1.3897799e-19,0.9856225,-0.003647862,-0.0021248274,0.16890961,0.0,0.0,-0.15016828,0,0,0,0,0
275205190,-0.008856369,-0.0029709917,0.33946136,-1.3897799e-19,0.9856207,-0.004113611,-0.0022121267,0.16890855,0.0,0.0,-0.15129109,0,0,0,0,0
275217165,-0.008487155,-0.0026011947,0.33946133,-1.1149345e-19,0.9856215,-0.0039628916,-0.0019987053,0.16890977,0.0,0.0,-0.15091273,0,0,0,0,0
275224915,-0.0078063547,-0.0028847894,0.33946133,-1.1149345e-19,0.98562276,-0.003603433,-0.0020809665,0.16890986,0.0,0.0,-0.15042345,0,0,0,0,0
275237480,-0.008101549,-0.001560075,0.33946136,-8.89138e-20,0.98562247,-0.0038607933,-0.0014530644,0.16891237,0.0,0.0,-0.14987364,0,0,0,0,0
275244623,-0.008193585,-0.0003155608,0.33946133,-8.89138e-20,0.9856221,-0.00401126,-0.0008475273,0.16891484,0.0,0.0,-0.14990813,0,0,0,0,0
