timestamp,timestamp_sample,xyz[0],xyz[1],xyz[2]
28482162,28481482,0.15173155,0.0664258,-9.768782
28529644,28528940,0.21718325,0.00145105,-9.793127
28577068,28576398,0.117255665,-0.14867365,-9.858176
28632515,28631766,0.10185966,0.054787602,-9.85915
28679914,28679225,0.10634291,-0.028036406,-9.803144
28731315,28730638,0.19391163,-0.09416613,-9.827244
28778803,28778096,0.10714785,0.041828338,-9.859992
28830206,28829509,0.10879661,-0.057558876,-9.811845
28881594,28880922,0.17515309,-0.06771282,-9.805411
28929046,28928381,0.1348624,0.043675613,-9.776441
28980475,28979794,0.11401306,-0.092464976,-9.783836
29031989,29031207,0.13366513,-0.028878897,-9.798928
29079335,29078665,0.17423987,-0.008163777,-9.880464
29126909,29126131,0.143615,-0.057577725,-9.828678
29182172,29181492,0.14024799,-0.03138178,-9.846421
29229741,29228950,0.110922776,0.017937185,-9.8523
29281035,29280363,0.06794119,-0.06257063,-9.83661
29332521,29331776,0.27060392,-0.03130113,-9.857247
29379903,29379235,0.087402046,0.034926165,-9.8148775
29431486,29430648,0.043341834,-0.0878376,-9.772985
29478803,29478106,0.2228828,-0.029954903,-9.886008
29530192,29529519,0.13323097,0.018468259,-9.871678
29581614,29580933,0.09190396,-0.08296419,-9.797789
29629083,29628391,0.11276555,-0.015444201,-9.758314
29680482,29679804,0.19124499,-0.021864751,-9.783934
29731897,29731217,0.15648173,-0.049779247,-9.813556
29779358,29778675,0.09056011,-0.037931386,-9.839825
29826859,29826134,0.13076879,-0.042490084,-9.820285
29882205,29881502,0.19139941,-0.013243609,-9.820367
29929634,29928960,0.10728547,-0.026428394,-9.838569
29977090,29976418,0.0829776,-0.070203915,-9.821179
30032527,30031787,0.1876533,0.018532362,-9.813985
30079982,30079245,0.1776022,-0.061520018,-9.790514
30131349,30130658,0.09666037,-0.04424358,-9.80772
30178812,30178116,0.11044699,0.0057363654,-9.866135
30230214,30229530,0.12812445,-0.06877802,-9.876285
30281608,30280943,0.18366645,-0.012670455,-9.790351
30329075,30328404,0.12794478,-0.03201373,-9.767868
30380506,30379815,0.08955455,-0.042447284,-9.778511
30431898,30431227,0.18018185,-0.04396166,-9.790786
30479363,30478686,0.13329186,-0.0005574038,-9.799734
30526856,30526144,0.15649424,-0.059872314,-9.827748
30582201,30581512,0.13391678,-0.025679052,-9.8378105
30629656,30628971,0.07476324,-0.037476044,-9.798345
30677096,30676429,0.20021538,-0.044466127,-9.795629
30732536,30731797,0.13920368,-0.024034873,-9.805161
30779928,30779255,0.07690183,-0.050736524,-9.842844
30831366,30830669,0.1804739,-0.044657785,-9.798659
30878812,30878127,0.18640685,-0.0041471072,-9.7940645
30930236,30929540,0.09802675,-0.06794476,-9.783972
30981637,30980953,0.14190479,-0.045349404,-9.800632
31029094,31028413,0.18629697,0.023109108,-9.793785
31080493,31079826,0.10632831,-0.07280285,-9.81114
31132068,31131239,0.15890202,-0.02779594,-9.821506
31179398,31178696,0.13871033,0.0019807813,-9.815608
31226878,31226166,0.14866886,-0.050209265,-9.789995
31282204,31281523,0.13300484,-0.06725971,-9.788844
31329650,31328981,0.12747125,0.0164069,-9.876149
31377111,31376440,0.17293502,-0.05352718,-9.832773
31432486,31431808,0.07890404,-0.028831914,-9.78756
31479940,31479266,0.11209305,0.021408081,-9.769634
31531364,31530679,0.22266434,-0.0840287,-9.818364
31578833,31578138,0.09600041,-0.021206519,-9.823818
31630233,31629551,0.123448335,-0.016098434,-9.799499
31681639,31680964,0.16378245,-0.044008818,-9.82072
31729088,31728422,0.10654996,-0.023400571,-9.805926
31780522,31779836,0.15432604,-0.061091296,-9.824122
31831926,31831249,0.15930344,0.007638332,-9.811549
31879394,31878707,0.12372648,-0.03986679,-9.798755
31926865,31926168,0.11520372,-0.0873975,-9.7759
31982210,31981534,0.16638802,0.011163839,-9.780577
32029661,32028992,0.14643511,-0.057685282,-9.817996
32077119,32076450,0.11507069,-0.046037626,-9.802821
32132634,32131819,0.16537316,-0.022087356,-9.805872
32179950,32179277,0.1335399,-0.03410992,-9.810645
32231454,32230690,0.1325151,-0.06126231,-9.816524
32278826,32278148,0.15034725,-0.01610029,-9.845689
32330235,32329562,0.109217525,-0.02229093,-9.841366
32381649,32380975,0.15584141,-0.036963947,-9.857
