timestamp,timestamp_sample,accel_device_id,gyro_device_id,delta_angle[0],delta_angle[1],delta_angle[2],delta_velocity[0],delta_velocity[1],delta_velocity[2],delta_angle_dt,delta_velocity_dt,delta_velocity_clipping,accel_calibration_count,gyro_calibration_count
61718962,61718250,2490386,2490386,-0.00031573232,0.00020667962,-0.00022064874,-0.00065497647,0.038839623,-0.007124799,3955,3955,0,1,1
62217293,62216564,2490386,2490386,2.972608e-05,0.00023799959,-0.0001586796,-0.00038728816,0.038679283,-0.007651947,3955,3955,0,1,1
62719537,62718832,2490386,2490386,0.000294805,0.00013821493,-0.00015511832,-0.00065015256,0.038312733,-0.008676831,3955,3955,0,1,1
63217856,63217146,2490386,2490386,-0.00023903731,0.00015507016,-2.389309e-05,-0.0009999124,0.037836928,-0.009138093,3955,3955,0,1,1
63720137,63719414,2490386,2490386,0.00041898427,-0.0003586357,0.0011220351,0.0002996824,0.038054887,-0.00882371,3955,3955,0,1,1
64214477,64213772,2490386,2490386,0.0007355989,0.00024367508,0.00035377673,0.0041552316,0.037097346,-0.009223079,3948,3948,0,1,1
64716756,64716041,2490386,2490386,0.004848351,0.0014892351,-0.0011204742,0.0027925603,0.03189775,-0.017739907,3955,3955,0,1,1
65219016,65218309,2490386,2490386,0.0016707955,-0.001188396,0.0017533517,0.0015784865,0.015956357,-0.040264405,3955,3955,0,1,1
65717417,65716622,2490386,2490386,0.0015425341,-0.00087370945,-0.0014168416,0.0018846146,0.00013198613,-0.03893996,3954,3954,0,1,1
66219597,66218891,2490386,2490386,-0.0005322631,0.00014637713,-0.00043879251,-0.0018443511,0.0016926591,-0.03133167,3954,3954,0,1,1
66717927,66717206,2490386,2490386,-3.6126447e-05,-3.0871543e-06,0.00015813451,0.0017303312,-0.00076315517,-0.03910264,3955,3955,0,1,1
67220194,67219475,2490386,2490386,2.535914e-06,1.2110607e-05,6.514089e-05,0.000806745,-4.755233e-06,-0.038444947,3955,3955,0,1,1
67714537,67713835,2490386,2490386,-2.42448e-05,-6.7207334e-06,4.1910975e-05,0.0006218178,0.00035810354,-0.03877649,3955,3955,0,1,1
68216828,68216105,2490386,2490386,-6.5418703e-06,3.620682e-05,2.8861992e-05,0.00048891944,-0.00016515862,-0.03867296,3955,3955,0,1,1
